date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01 00:00:00,25.7,14.8,35,,,,17.4,,1007.7,
2022-01-02 00:00:00,11.6,4,18.9,,,,19.1,,1025.4,
2022-01-03 00:00:00,7.8,0,15,,,,8.6,,1030.4,
2022-01-04 00:00:00,12.4,3,22,,,,7.7,,1021.1,
2022-01-05 00:00:00,18.1,6.4,30,,,,10.6,,1014.2,
2022-01-06 00:00:00,18.6,8.8,30,,,,11.2,,1014.8,
2022-01-07 00:00:00,11.9,10,14.1,,,,8.9,,1019.4,
2022-01-08 00:00:00,16.1,8.6,24,,,,7.6,,1016.4,
2022-01-09 00:00:00,18,10.1,26,,,,11.9,,1022.2,
2022-01-10 00:00:00,12,10,14.6,,,,13.3,,1033.9,
2022-01-11 00:00:00,10.8,6.9,15,,,,8,,1032.1,
2022-01-12 00:00:00,11,5.3,17,,,,6.4,,1026.7,
2022-01-13 00:00:00,15.6,5.5,27,,,,6.6,,1023.2,
2022-01-14 00:00:00,17.1,6.9,28,,,,10,,1015.1,
2022-01-15 00:00:00,14.3,10,18,,,,21,,1020.9,
2022-01-16 00:00:00,10.7,2,20,,,,6.8,,1023.4,
2022-01-17 00:00:00,13.9,3,25,,,,10.2,,1019.7,
2022-01-18 00:00:00,15.9,6,27,,,,9.5,,1015.6,
2022-01-19 00:00:00,20.7,9,31,,,,13.9,,1014.2,
2022-01-20 00:00:00,10.1,4,16.7,,,,19.4,,1023.5,
2022-01-21 00:00:00,4.6,1,9,,,,10,,1028,
2022-01-22 00:00:00,5.6,4,7,,,,7.6,,1027.4,
2022-01-23 00:00:00,7.3,5,8.5,,,,7.4,,1023.4,
2022-01-24 00:00:00,10.3,7,14,,,,8,,1014.7,
2022-01-25 00:00:00,15.1,7,24,,,,8,,1016.5,
2022-01-26 00:00:00,11.8,10,13,,,,8.4,,1022.2,
2022-01-27 00:00:00,12.6,11.5,13,,,,7.8,,1022.6,
2022-01-28 00:00:00,10.1,8,14.5,,,,12.4,,1030.1,
2022-01-29 00:00:00,10.3,6,16,,,,8.9,,1029.6,
2022-01-30 00:00:00,12.6,4,21,,,,8.3,,1020.5,
2022-01-31 00:00:00,17.8,8.8,28,,,,11,,1013.4,
2022-02-01 00:00:00,17.2,8,27,,,,8.5,,1011.1,
2022-02-02 00:00:00,18.3,13.1,24,,,,11.2,,1007.5,
2022-02-03 00:00:00,7.7,3,18.3,,,,19.1,,1018.8,
2022-02-04 00:00:00,5,0,10,,,,16.3,,1034.4,
2022-02-05 00:00:00,5.9,1,12,,,,8.9,,1032.5,
2022-02-06 00:00:00,9.5,1,17,,,,7.7,,1021.8,
2022-02-07 00:00:00,11.1,9,14,,,,12.4,,1028,
2022-02-08 00:00:00,11.3,3.4,19,,,,8.7,,1026,
2022-02-09 00:00:00,12.9,3,22,,,,8.8,,1020.6,
2022-02-10 00:00:00,14.3,8.9,21,,,,7.7,,1019,
2022-02-11 00:00:00,16.4,11,24,,,,6.7,,1016.5,
2022-02-12 00:00:00,15.3,10,21,,,,20.2,,1022.3,
2022-02-13 00:00:00,9.9,3,16,,,,7.3,,1032.7,
2022-02-14 00:00:00,12,3,21,,,,9.5,,1026.4,
2022-02-15 00:00:00,15,5,24,,,,13.2,,1020.3,
2022-02-16 00:00:00,19.4,8,29,,,,15.9,,1011.6,
2022-02-17 00:00:00,21.5,13.7,28,,,,18.3,,1014.4,
2022-02-18 00:00:00,13.5,7,19,,,,12.8,,1025.5,
2022-02-19 00:00:00,12.9,7,19,,,,9.9,,1027.2,
2022-02-20 00:00:00,16.1,8.9,24,,,,9,,1020.9,
2022-02-21 00:00:00,21.6,13.9,31,,,,10.3,,1013.9,
2022-02-22 00:00:00,25.8,14,35,,,,12.2,,1012.7,
2022-02-23 00:00:00,17.2,10,24,,,,14.5,,1017.1,
2022-02-24 00:00:00,12.3,7,19,,,,9.2,,1018.7,
2022-02-25 00:00:00,11.1,7,14.4,,,,11.4,,1025.5,
2022-02-26 00:00:00,7.8,6,9,,,,10.7,,1025.1,
2022-02-27 00:00:00,11.6,6,19,,,,12.1,,1028.3,
2022-02-28 00:00:00,12.6,2,21,,,,9.9,,1026.8,
2022-03-01 00:00:00,14.4,5,22,,,,11.8,,1022.5,
2022-03-02 00:00:00,15.8,9,21,,,,10.7,,1021,
2022-03-03 00:00:00,18.5,14.4,22,,,,10.3,,1020.2,
2022-03-04 00:00:00,20.4,17,27,,,,13.1,,1017.7,
2022-03-05 00:00:00,22.4,16.8,30,,,,12.5,,1013.4,
2022-03-06 00:00:00,23.9,18,32,,,,10.1,,1011.9,
2022-03-07 00:00:00,18.2,10,22,,,,21.2,,1016.8,
2022-03-08 00:00:00,14.8,7,22,,,,9.7,,1015.2,
2022-03-09 00:00:00,13.8,6,20,,,,10.6,,1015.8,
2022-03-10 00:00:00,15.6,5.8,25,,,,12,,1012.8,
2022-03-11 00:00:00,18.1,11,30,,,,21.2,,1014.2,
2022-03-12 00:00:00,10.7,6,16,,,,16.2,,1030.9,
2022-03-13 00:00:00,11.8,4,20,,,,13,,1023.1,
2022-03-14 00:00:00,18.9,8,29,,,,9,,1017.7,
2022-03-15 00:00:00,21.4,13,28.6,,,,10.2,,1022.6,
2022-03-16 00:00:00,20,9.9,29,,,,15.3,,1015.6,
2022-03-17 00:00:00,25.6,11,36,,,,17.7,,1007.4,
2022-03-18 00:00:00,20.4,13.8,26,,,,15.4,,1016.9,
2022-03-19 00:00:00,18.1,10.2,24,,,,13.4,,1022,
2022-03-20 00:00:00,18.9,10,27,,,,15.2,,1018.3,
2022-03-21 00:00:00,25.3,17,35,,,,14.5,,1005.7,
2022-03-22 00:00:00,22,13.9,30,,,,22.4,,1011.1,
2022-03-23 00:00:00,16.2,9.4,22,,,,9.9,,1019.3,
2022-03-24 00:00:00,17.6,6.7,27,,,,13,,1020.4,
2022-03-25 00:00:00,20.8,8,32,,,,11.8,,1019.3,
2022-03-26 00:00:00,21.8,10.2,32,,,,11.4,,1017.8,
2022-03-27 00:00:00,21.6,13.1,30,,,,13.4,,1015.3,
2022-03-28 00:00:00,22.2,13,31,,,,13.1,,1014.1,
2022-03-29 00:00:00,24.3,16,34,,,,13.2,,1006.6,
2022-03-30 00:00:00,26.7,16.9,35,,,,19.8,,1004.8,
2022-03-31 00:00:00,22.9,12.3,31,,,,9.9,,1010.6,
2022-04-01 00:00:00,21.9,15.9,28,,,,12.5,,1012.6,
2022-04-02 00:00:00,24.3,19.8,32.4,,,,10.3,,1014.6,
2022-04-03 00:00:00,23.1,18,28,,,,10.4,,1013,
2022-04-04 00:00:00,24.6,20,32,,,,12.1,,1006.1,
2022-04-05 00:00:00,28.3,19,38,,,,13.1,,1005.3,
2022-04-06 00:00:00,26.8,15.2,37,,,,19,,1009.8,
2022-04-07 00:00:00,20.5,13.5,26,,,,10.6,,1022.4,
2022-04-08 00:00:00,20.1,10.9,28,,,,12.1,,1022.2,
2022-04-09 00:00:00,21.6,13,30,,,,11.9,,1017.5,
2022-04-10 00:00:00,26.5,16,37,,,,13,,1008.4,
2022-04-11 00:00:00,28.7,17,37,,,,17.2,,1007.9,
2022-04-12 00:00:00,26.3,19.4,36,,,,14.6,,1007.4,
2022-04-13 00:00:00,29.6,18,39,,,,16.6,,1007.4,
2022-04-14 00:00:00,25.5,19.5,32.9,,,,14.6,,1012.4,
2022-04-15 00:00:00,25.5,21,31,,,,11.1,,1011.7,
2022-04-16 00:00:00,27.8,20,35,,,,10.4,,1011.3,
2022-04-17 00:00:00,27.7,22,36,,,,9.7,,1011.3,
2022-04-18 00:00:00,26.7,23,30,,,,13.7,,1016.8,
2022-04-19 00:00:00,23.9,20,28,,,,16.7,,1015.9,
2022-04-20 00:00:00,23.6,20,28,,,,11.8,,1012.8,
2022-04-21 00:00:00,25.4,21.8,31,,,,14.3,,1015.3,
2022-04-22 00:00:00,26.1,22,33,,,,19.4,,1015.9,
2022-04-23 00:00:00,26,21,33,,,,18,,1011.1,
2022-04-24 00:00:00,26.3,21,33,,,,15.3,,1008.5,
2022-04-25 00:00:00,24.9,20,29,,,,12.4,,1013.4,
2022-04-26 00:00:00,20.8,18,24,,,,14.3,,1022.5,
2022-04-27 00:00:00,22,17.6,28,,,,11.4,,1020,
2022-04-28 00:00:00,24.2,19,32,,,,11.5,,1013.8,
2022-04-29 00:00:00,25.5,21,33,,,,13.2,,1009,
2022-04-30 00:00:00,26.2,22,32,,,,12.7,,1009.6,
2022-05-01 00:00:00,25.7,21,33,,,,14.9,,1011.1,
2022-05-02 00:00:00,28.2,23,35,,,,13.5,,1009.5,
2022-05-03 00:00:00,27.3,21.7,34,,,,15,,1010.4,
2022-05-04 00:00:00,27.5,24,34,,,,15.1,,1009.4,
2022-05-05 00:00:00,29.1,24,37,,,,11.2,,1010,
2022-05-06 00:00:00,29.2,24,36,,,,11.4,,1012.1,
2022-05-07 00:00:00,30.5,21,40,,,,13.4,,1008.8,
2022-05-08 00:00:00,30.4,23,40,,,,15,,1005.4,
2022-05-09 00:00:00,29.4,23.6,36,,,,14.5,,1007.5,
2022-05-10 00:00:00,27.6,24,31,,,,15.2,,1013.7,
2022-05-11 00:00:00,27.5,24,34,,,,18.7,,1017.1,
2022-05-12 00:00:00,27.9,21,35.8,,,,15.1,,1014.1,
2022-05-13 00:00:00,27.8,23,36,,,,13,,1012.3,
2022-05-14 00:00:00,27.3,22,35,,,,12.4,,1013.6,
2022-05-15 00:00:00,28.6,20,37,,,,11.8,,1014,
2022-05-16 00:00:00,28.9,20,38,,,,12.6,,1013.8,
2022-05-17 00:00:00,28.8,20,38,,,,17.1,,1012.9,
2022-05-18 00:00:00,28.2,21,36,,,,13.5,,1011.8,
2022-05-19 00:00:00,28.8,22,38,,,,13.4,,1007.6,
2022-05-20 00:00:00,32.7,22,43,,,,16.9,,1003.4,
2022-05-21 00:00:00,30.2,22.6,40,,,,12.2,,1008.4,
2022-05-22 00:00:00,26.6,24,32,,,,12.1,,1016.3,
2022-05-23 00:00:00,23.4,21,26,,,,13.1,,1014.1,
