date,tavg
2022-01-01,25.7
2022-01-02,11.6
2022-01-03,7.8
2022-01-04,12.4
2022-01-05,18.1
2022-01-06,18.6
2022-01-07,11.9
2022-01-08,16.1
2022-01-09,18.0
2022-01-10,12.0
2022-01-11,10.8
2022-01-12,11.0
2022-01-13,15.6
2022-01-14,17.1
2022-01-15,14.3
2022-01-16,10.7
2022-01-17,13.9
2022-01-18,15.9
2022-01-19,20.7
2022-01-20,10.1
2022-01-21,4.6
2022-01-22,5.6
2022-01-23,7.3
2022-01-24,10.3
2022-01-25,15.1
2022-01-26,11.8
2022-01-27,12.6
2022-01-28,10.1
2022-01-29,10.3
2022-01-30,12.6
2022-01-31,17.8
2022-02-01,17.2
2022-02-02,18.3
2022-02-03,7.7
2022-02-04,5.0
2022-02-05,5.9
2022-02-06,9.5
2022-02-07,11.1
2022-02-08,11.3
2022-02-09,12.9
2022-02-10,14.3
2022-02-11,16.4
2022-02-12,15.3
2022-02-13,9.9
2022-02-14,12.0
2022-02-15,15.0
2022-02-16,19.4
2022-02-17,21.5
2022-02-18,13.5
2022-02-19,12.9
2022-02-20,16.1
2022-02-21,21.6
2022-02-22,25.8
2022-02-23,17.2
2022-02-24,12.3
2022-02-25,11.1
2022-02-26,7.8
2022-02-27,11.6
2022-02-28,12.6
2022-03-01,14.4
2022-03-02,15.8
2022-03-03,18.5
2022-03-04,20.4
2022-03-05,22.4
2022-03-06,23.9
2022-03-07,18.2
2022-03-08,14.8
2022-03-09,13.8
2022-03-10,15.6
2022-03-11,18.1
2022-03-12,10.7
2022-03-13,11.8
2022-03-14,18.9
2022-03-15,21.4
2022-03-16,20.0
2022-03-17,25.6
2022-03-18,20.4
2022-03-19,18.1
2022-03-20,18.9
2022-03-21,25.3
2022-03-22,22.0
2022-03-23,16.2
2022-03-24,17.6
2022-03-25,20.8
2022-03-26,21.8
2022-03-27,21.6
2022-03-28,22.2
2022-03-29,24.3
2022-03-30,26.7
2022-03-31,22.9
2022-04-01,21.9
2022-04-02,24.3
2022-04-03,23.1
2022-04-04,24.6
2022-04-05,28.3
2022-04-06,26.8
2022-04-07,20.5
2022-04-08,20.1
2022-04-09,21.6
2022-04-10,26.5
2022-04-11,28.7
2022-04-12,26.3
2022-04-13,29.6
2022-04-14,25.5
2022-04-15,25.5
2022-04-16,27.8
2022-04-17,27.7
2022-04-18,26.7
2022-04-19,23.9
2022-04-20,23.6
2022-04-21,25.4
2022-04-22,26.1
2022-04-23,26.0
2022-04-24,26.3
2022-04-25,24.9
2022-04-26,20.8
2022-04-27,22.0
2022-04-28,24.2
2022-04-29,25.5
2022-04-30,26.2
2022-05-01,25.7
2022-05-02,28.2
2022-05-03,27.3
2022-05-04,27.5
2022-05-05,29.1
2022-05-06,29.2
2022-05-07,30.5
2022-05-08,30.4
2022-05-09,29.4
2022-05-10,27.6
2022-05-11,27.5
2022-05-12,27.9
2022-05-13,27.8
2022-05-14,27.3
2022-05-15,28.6
2022-05-16,28.9
2022-05-17,28.8
2022-05-18,28.2
2022-05-19,28.8
2022-05-20,32.7
2022-05-21,30.2
2022-05-22,26.6
2022-05-23,23.4
2022-05-24,22.8
2022-05-25,23.6
2022-05-26,28.1
2022-05-27,27.9
2022-05-28,29.1
2022-05-29,28.9
2022-05-30,28.6
2022-05-31,29.0
2022-06-01,28.5
2022-06-02,27.9
2022-06-03,27.2
2022-06-04,29.3
2022-06-05,31.1
2022-06-06,32.1
2022-06-07,31.2
2022-06-08,29.8
2022-06-09,28.7
2022-06-10,29.9
2022-06-11,30.8
2022-06-12,31.4
2022-06-13,29.9
2022-06-14,28.9
2022-06-15,29.1
2022-06-16,29.2
2022-06-17,28.0
2022-06-18,26.6
2022-06-19,28.0
2022-06-20,28.9
2022-06-21,27.9
2022-06-22,27.5
2022-06-23,28.3
2022-06-24,29.0
2022-06-25,28.4
2022-06-26,28.6
2022-06-27,28.6
2022-06-28,28.0
2022-06-29,25.6
2022-06-30,28.1
2022-07-01,29.2
2022-07-02,27.5
2022-07-03,28.4
2022-07-04,29.1
2022-07-05,29.4
2022-07-06,29.4
2022-07-07,29.7
2022-07-08,29.8
2022-07-09,30.8
2022-07-10,31.0
2022-07-11,31.5
2022-07-12,30.8
2022-07-13,29.6
2022-07-14,28.8
2022-07-15,29.0
2022-07-16,28.8
2022-07-17,29.2
2022-07-18,29.8
2022-07-19,30.1
2022-07-20,31.1
2022-07-21,30.4
2022-07-22,29.6
2022-07-23,29.6
2022-07-24,29.9
2022-07-25,28.4
2022-07-26,29.7
2022-07-27,28.8
2022-07-28,28.9
2022-07-29,29.2
2022-07-30,29.0
2022-07-31,28.2
2022-08-01,28.8
2022-08-02,29.8
2022-08-03,30.8
2022-08-04,30.0
2022-08-05,29.5
2022-08-06,29.1
2022-08-07,28.9
2022-08-08,28.4
2022-08-09,29.0
2022-08-10,29.8
2022-08-11,30.2
2022-08-12,27.3
2022-08-13,26.7
2022-08-14,26.2
2022-08-15,26.2
2022-08-16,27.6
2022-08-17,28.5
2022-08-18,29.5
2022-08-19,29.4
2022-08-20,28.9
2022-08-21,29.3
2022-08-22,30.0
2022-08-23,29.0
2022-08-24,28.8
2022-08-25,27.8
2022-08-26,25.9
2022-08-27,27.7
2022-08-28,28.4
2022-08-29,28.7
2022-08-30,27.8
2022-08-31,25.9
2022-09-01,26.3
2022-09-02,26.7
2022-09-03,25.8
2022-09-04,24.2
2022-09-05,22.8
2022-09-06,23.6
2022-09-07,25.2
2022-09-08,26.5
2022-09-09,26.8
2022-09-10,26.2
2022-09-11,26.7
2022-09-12,26.1
2022-09-13,26.0
2022-09-14,25.6
2022-09-15,25.0
2022-09-16,25.4
2022-09-17,26.3
2022-09-18,26.1
2022-09-19,26.5
2022-09-20,25.9
2022-09-21,25.8
2022-09-22,26.0
2022-09-23,25.8
2022-09-24,26.2
2022-09-25,25.1
2022-09-26,22.1
2022-09-27,23.6
2022-09-28,22.9
2022-09-29,21.9
2022-09-30,22.5
2022-10-01,22.1
2022-10-02,22.3
2022-10-03,22.1
2022-10-04,21.8
2022-10-05,22.8
2022-10-06,21.3
2022-10-07,20.5
2022-10-08,20.4
2022-10-09,21.8
2022-10-10,21.5
2022-10-11,22.1
2022-10-12,25.0
2022-10-13,26.0
2022-10-14,24.8
2022-10-15,25.2
2022-10-16,25.3
2022-10-17,23.9
2022-10-18,14.7
2022-10-19,16.2
2022-10-20,17.5
2022-10-21,20.1
2022-10-22,21.5
2022-10-23,21.6
2022-10-24,25.5
