sucursal,operating_date,day_name,closing_time,captured_time,week_number,pdv_txn_id,order_id,order_type,order_subtype,table_number,party_size,server,terminal,capture_terminal,action,item,modifier,group_type,group,description,is_modifier,quantity,unit_price,unit_price_with_mods,cost_actual,cost_with_mods,cost_ideal,discount,subtotal_ticket,iva_ticket,ieps_ticket,total_ticket,subtotal_item,iva_item,ieps_item,total_item,subtotal_cortesia_cancel,iva_cortesia_cancel,ieps_cortesia_cancel,total_cortesia_cancel,subtotal_anulacion,iva_anulacion,ieps_anulacion,total_anulacion,clave_platillo
Panem - Hotel Kavia N,2025-11-24,lunes,2025-11-24 07:49:52.443000,2025-11-24 07:45:41.877000,48,198809,1,Restaurant,'-,7,1,Panem Kavia,Terminal 1,Terminal 1,Venta,ENCHILADAS SUIZAS,,Alimentos,DESAYUNOS,"., ENCHILADAS SUIZAS",False,1.0,196.0,196.0,27.2579,27.2579,50.2803,0.0,729.2465,112.8276,1.9259,844.0,168.9655,27.0345,0.0,196.0,,,,,,,,,DE006
Panem - Hotel Kavia N,2025-11-24,lunes,2025-11-24 07:49:52.443000,2025-11-24 07:45:44.597000,48,198809,1,Restaurant,'-,7,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CHILAQUILES PANEM,,Alimentos,DESAYUNOS,"., CHILAQUILES PANEM, 1 MIXTOS, 1 HUEVO CHILAQUIL INCLUIDO, 1 POLLO +40,** HUEVO APARTE REVUELTO **",False,1.0,196.0,236.0,19.1784,19.1784,36.092,0.0,729.2465,112.8276,1.9259,844.0,203.4483,32.5517,0.0,236.0,,,,,,,,,DE005
Panem - Hotel Kavia N,2025-11-24,lunes,2025-11-24 07:49:52.443000,2025-11-24 07:45:47.753000,48,198809,1,Restaurant,'-,7,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CHILAQUILES PANEM,MIXTOS,Alimentos,MOD ALIMENTOS,MIXTOS,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,729.2465,112.8276,1.9259,844.0,0.0,0.0,0.0,0.0,,,,,,,,,MA011
Panem - Hotel Kavia N,2025-11-24,lunes,2025-11-24 07:49:52.443000,2025-11-24 07:46:13.483000,48,198809,1,Restaurant,'-,7,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CHILAQUILES PANEM,HUEVO CHILAQUIL INCLUIDO,Alimentos,NATIVA TEMPORALCOMIDA,HUEVO CHILAQUIL INCLUIDO,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,729.2465,112.8276,1.9259,844.0,0.0,0.0,0.0,0.0,,,,,,,,,HCNT
Panem - Hotel Kavia N,2025-11-24,lunes,2025-11-24 07:49:52.443000,2025-11-24 07:46:14.390000,48,198809,1,Restaurant,'-,7,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CHILAQUILES PANEM,POLLO +40,Alimentos,MOD ALIMENTOS,POLLO +40,True,1.0,40.0,0.0,0.0,0.0,0.0,0.0,729.2465,112.8276,1.9259,844.0,34.4828,5.5172,0.0,40.0,,,,,,,,,MA004
Panem - Hotel Kavia N,2025-11-24,lunes,2025-11-24 07:49:52.443000,2025-11-24 07:46:39.580000,48,198809,1,Restaurant,'-,7,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CROISSANT DE BERRIES,,Alimentos,PRODUCTOS DE TEMPORADA,"., CROISSANT DE BERRIES",False,1.0,87.0,87.0,10.0046,10.0046,45.7417,0.0,729.2465,112.8276,1.9259,844.0,75.0,12.0,0.0,87.0,,,,,,,,,PTCRB
Panem - Hotel Kavia N,2025-11-24,lunes,2025-11-24 07:49:52.443000,2025-11-24 07:47:48.483000,48,198809,1,Restaurant,'-,7,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CHOCOLATE ARTESANAL 16OZ,,Alimentos,CAFE Y BEBIDAS CALIENTES,"., CHOCOLATE ARTESANAL 16OZ, 1 LECHE ENTERA",False,1.0,99.0,99.0,8.0926,8.0926,7.0379,0.0,729.2465,112.8276,1.9259,844.0,85.3448,13.6552,0.0,99.0,,,,,,,,,CBC012
Panem - Hotel Kavia N,2025-11-24,lunes,2025-11-24 07:49:52.443000,2025-11-24 07:47:49.403000,48,198809,1,Restaurant,'-,7,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CHOCOLATE ARTESANAL 16OZ,LECHE ENTERA,Alimentos,MOD BEBIDAS,LECHE ENTERA,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,729.2465,112.8276,1.9259,844.0,0.0,0.0,0.0,0.0,,,,,,,,,MB005
Panem - Hotel Kavia N,2025-11-24,lunes,2025-11-24 07:49:52.443000,2025-11-24 07:47:53.950000,48,198809,1,Restaurant,'-,7,1,Panem Kavia,Terminal 1,Terminal 1,Venta,JUGO NARANJA,,Alimentos,JUGOS Y BEBIDAS FRIAS,"., JUGO NARANJA",False,1.0,50.0,50.0,31.0,31.0,26.0,0.0,729.2465,112.8276,1.9259,844.0,43.1034,6.8966,0.0,50.0,,,,,,,,,JBF010
Panem - Hotel Kavia N,2025-11-24,lunes,2025-11-24 07:49:52.443000,2025-11-24 07:47:55.840000,48,198809,1,Restaurant,'-,7,1,Panem Kavia,Terminal 1,Terminal 1,Venta,JUGO NARANJA,,Alimentos,JUGOS Y BEBIDAS FRIAS,"., JUGO NARANJA",False,1.0,50.0,50.0,31.0,31.0,26.0,0.0,729.2465,112.8276,1.9259,844.0,43.1034,6.8966,0.0,50.0,,,,,,,,,JBF010
Panem - Hotel Kavia N,2025-11-24,lunes,2025-11-24 07:49:52.443000,2025-11-24 07:48:03.513000,48,198809,1,Restaurant,'-,7,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CONCHA CHOCOLATE,,Alimentos,PAN DULCE,"., CONCHA CHOCOLATE, $13.00 OFF",False,1.0,13.0,13.0,2.1543,2.1543,7.32,0.0,729.2465,112.8276,1.9259,844.0,12.037,0.0,0.963,13.0,,,,,,,,,PD020
