sucursal,operating_date,day_name,closing_time,captured_time,week_number,pdv_txn_id,order_id,order_type,order_subtype,table_number,party_size,server,terminal,capture_terminal,action,item,modifier,group_type,group,description,is_modifier,quantity,unit_price,unit_price_with_mods,cost_actual,cost_with_mods,cost_ideal,discount,subtotal_ticket,iva_ticket,ieps_ticket,total_ticket,subtotal_item,iva_item,ieps_item,total_item,subtotal_cortesia_cancel,iva_cortesia_cancel,ieps_cortesia_cancel,total_cortesia_cancel,subtotal_anulacion,iva_anulacion,ieps_anulacion,total_anulacion,clave_platillo
Panem - Plaza Nativa,2025-12-08,lunes,2025-12-08 08:04:07.677000,2025-12-08 08:02:22.523000,50,133523,1,Para llevar,'-,,1,Paseo Tec,PDV1,PDV1,Venta,CAFE REFILL,,Alimentos,CAFE Y BEBIDAS CALIENTES,"., CAFE REFILL, REGULAR",False,1.0,55.0,55.0,0.0,0.0,2.368,0.0,202.59,32.41,0.0,235.0,47.4138,7.5862,0.0,55.0,,,,,,,,,CBC001
Panem - Plaza Nativa,2025-12-08,lunes,2025-12-08 08:04:07.677000,2025-12-08 08:02:24.337000,50,133523,1,Para llevar,'-,,1,Paseo Tec,PDV1,PDV1,Venta,CAFE REFILL,REGULAR,Alimentos,MOD BEBIDAS,REGULAR,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,202.59,32.41,0.0,235.0,0.0,0.0,0.0,0.0,,,,,,,,,MB002
Panem - Plaza Nativa,2025-12-08,lunes,2025-12-08 08:04:07.677000,2025-12-08 08:02:37.773000,50,133523,1,Para llevar,'-,,1,Paseo Tec,PDV1,PDV1,Venta,CROQUE MADAME,,Alimentos,DESAYUNOS,"., CROQUE MADAME,** COMER AQUI 24 **",False,1.0,180.0,180.0,23.9671,23.9671,48.3608,0.0,202.59,32.41,0.0,235.0,155.1724,24.8276,0.0,180.0,,,,,,,,,DE013
Panem - Plaza Nativa,2025-12-08,lunes,2025-12-08 08:06:47.480000,2025-12-08 08:06:24.153000,50,133524,2,Para llevar,'-,,1,Paseo Tec,PDV1,PDV1,Venta,VASO BIO,,Alimentos,EXTRAS,"., VASO BIO",False,8.0,10.0,10.0,0.0,0.0,0.0,0.0,68.97,11.03,0.0,80.0,68.9655,11.0345,0.0,80.0,,,,,,,,,EX014
Panem - Plaza Nativa,2025-12-08,lunes,2025-12-08 21:19:26.150000,2025-12-08 08:11:31.390000,50,133629,3,Para llevar,'-,,1,Paseo Tec,PDV1,PDV1,Venta,CAFE OFICIAL,,Alimentos,CAFE Y BEBIDAS CALIENTES,"., CAFE OFICIAL",False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,COFG
Panem - Plaza Nativa,2025-12-08,lunes,2025-12-08 21:19:26.150000,2025-12-08 08:39:31.963000,50,133629,3,Para llevar,'-,,1,Paseo Tec,PDV1,PDV1,Venta,CAFE OFICIAL,,Alimentos,CAFE Y BEBIDAS CALIENTES,"., CAFE OFICIAL",False,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,COFG
Panem - Plaza Nativa,2025-12-08,lunes,2025-12-08 21:20:28.147000,2025-12-08 08:19:24.663000,50,133630,4,Para llevar,'-,,1,Paseo Tec,PDV1,PDV1,Cortesía de platillo,CAFE OLLA REFILL,,Alimentos,CAFE Y BEBIDAS CALIENTES,DESCUENTO DE EMPLEADO,False,1.0,55.0,55.0,2.119,2.119,3.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.41,7.59,0.0,55.0,,,,,CBC020
Panem - Plaza Nativa,2025-12-08,lunes,2025-12-08 21:20:28.147000,2025-12-08 08:19:44.913000,50,133630,4,Para llevar,'-,,1,Paseo Tec,PDV1,PDV1,Cortesía de platillo,CAFE REFILL,,Alimentos,CAFE Y BEBIDAS CALIENTES,DESCUENTO DE EMPLEADO,False,1.0,55.0,55.0,1.569,1.569,2.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.41,7.59,0.0,55.0,,,,,CBC001
Panem - Plaza Nativa,2025-12-08,lunes,2025-12-08 21:20:28.147000,2025-12-08 08:19:25.350000,50,133630,4,Para llevar,'-,,1,Paseo Tec,PDV1,PDV1,Cortesía de platillo,CAFE REFILL,,Alimentos,CAFE Y BEBIDAS CALIENTES,DESCUENTO DE EMPLEADO,False,1.0,55.0,55.0,1.569,1.569,2.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.41,7.59,0.0,55.0,,,,,CBC001
Panem - Plaza Nativa,2025-12-08,lunes,2025-12-08 21:20:28.147000,2025-12-08 10:12:39.993000,50,133630,4,Para llevar,'-,,1,Paseo Tec,PDV1,PDV1,Cortesía de platillo,ESPRESSO DOBLE,,Alimentos,CAFE Y BEBIDAS CALIENTES,DESCUENTO DE EMPLEADO,False,1.0,50.0,50.0,0.0,0.0,0.9374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1,6.9,0.0,50.0,,,,,CBC009
