sucursal,operating_date,day_name,closing_time,captured_time,week_number,pdv_txn_id,order_id,order_type,order_subtype,table_number,party_size,server,terminal,capture_terminal,action,item,modifier,group_type,group,description,is_modifier,quantity,unit_price,unit_price_with_mods,cost_actual,cost_with_mods,cost_ideal,discount,subtotal_ticket,iva_ticket,ieps_ticket,total_ticket,subtotal_item,iva_item,ieps_item,total_item,subtotal_cortesia_cancel,iva_cortesia_cancel,ieps_cortesia_cancel,total_cortesia_cancel,subtotal_anulacion,iva_anulacion,ieps_anulacion,total_anulacion,clave_platillo
Panem - Plaza QIN,2022-04-28,jueves,2022-04-28 08:06:34.270000,2022-04-28 07:58:40.203000,17,3,2,Restaurant,'-,1,1,Plaza Qin,server_qin,server_qin,Venta,CONCHA CHOCOLATE,,Alimentos,PAN DULCE,"., CONCHA CHOCOLATE",False,1.0,24.0,24.0,0.0,0.0,0.0,0.0,84.4828,13.5172,0.0,98.0,20.6897,3.3103,0.0,24.0,,,,,,,,,PD020
Panem - Plaza QIN,2022-04-28,jueves,2022-04-28 08:06:34.270000,2022-04-28 07:58:50.080000,17,3,2,Restaurant,'-,1,1,Plaza Qin,server_qin,server_qin,Venta,PAIN AU CHOCOLAT,,Alimentos,PAN DULCE,"., PAIN AU CHOCOLAT",False,1.0,74.0,74.0,0.0,0.0,0.0,0.0,84.4828,13.5172,0.0,98.0,63.7931,10.2069,0.0,74.0,,,,,,,,,PD005
Panem - Plaza QIN,2022-04-28,jueves,2022-04-28 08:05:30.760000,2022-04-28 08:00:53.090000,17,2,3,Restaurant,'-,2,1,Plaza Qin,server_qin,server_qin,Venta,CAFE OLLA REFILL,,Alimentos,CAFE Y BEBIDAS CALIENTES,"., CAFE OLLA REFILL",False,1.0,49.0,49.0,0.0,0.0,0.0,0.0,42.2414,6.7586,0.0,49.0,42.2414,6.7586,0.0,49.0,,,,,,,,,CBC020
Panem - Plaza QIN,2022-04-28,jueves,2022-04-28 08:07:56.597000,2022-04-28 08:07:43.237000,17,4,4,Restaurant,'-,1,1,Plaza Qin,server_qin,server_qin,Venta,CONCHA CHOCOLATE,,Alimentos,PAN DULCE,"., CONCHA CHOCOLATE",False,1.0,24.0,24.0,0.0,0.0,0.0,0.0,41.3794,6.6206,0.0,48.0,20.6897,3.3103,0.0,24.0,,,,,,,,,PD020
Panem - Plaza QIN,2022-04-28,jueves,2022-04-28 08:07:56.597000,2022-04-28 08:07:45.240000,17,4,4,Restaurant,'-,1,1,Plaza Qin,server_qin,server_qin,Venta,CONCHA CHOCOLATE,,Alimentos,PAN DULCE,"., CONCHA CHOCOLATE",False,1.0,24.0,24.0,0.0,0.0,0.0,0.0,41.3794,6.6206,0.0,48.0,20.6897,3.3103,0.0,24.0,,,,,,,,,PD020
Panem - Plaza QIN,2022-04-28,jueves,2022-04-28 08:11:42.813000,2022-04-28 08:08:57.540000,17,5,5,Restaurant,'-,19,1,Plaza Qin,server_qin,server_qin,Venta,SOURDOUGH AVOCADO TOAST,,Alimentos,DESAYUNOS,"., AVOCADO TOAST, HUEVO +12",False,1.0,169.0,181.0,0.0,0.0,0.0,0.0,198.2759,31.7241,0.0,230.0,156.0345,24.9655,0.0,181.0,,,,,,,,,DE001
Panem - Plaza QIN,2022-04-28,jueves,2022-04-28 08:11:42.813000,2022-04-28 08:08:58.457000,17,5,5,Restaurant,'-,19,1,Plaza Qin,server_qin,server_qin,Venta,SOURDOUGH AVOCADO TOAST,HUEVO +12,Alimentos,MOD ALIMENTOS,HUEVO +12,True,1.0,12.0,0.0,0.0,0.0,0.0,0.0,198.2759,31.7241,0.0,230.0,10.3448,1.6552,0.0,12.0,,,,,,,,,MA003
Panem - Plaza QIN,2022-04-28,jueves,2022-04-28 08:11:42.813000,2022-04-28 08:09:54.693000,17,5,5,Restaurant,'-,19,1,Plaza Qin,server_qin,server_qin,Venta,CAFE OLLA REFILL,,Alimentos,CAFE Y BEBIDAS CALIENTES,"., CAFE OLLA REFILL",False,1.0,49.0,49.0,0.0,0.0,0.0,0.0,198.2759,31.7241,0.0,230.0,42.2414,6.7586,0.0,49.0,,,,,,,,,CBC020
Panem - Plaza QIN,2022-04-28,jueves,2022-04-28 08:14:15.933000,2022-04-28 08:13:39.513000,17,6,6,Restaurant,'-,1,1,Plaza Qin,server_qin,server_qin,Venta,CAFE REFILL,,Alimentos,CAFE Y BEBIDAS CALIENTES,"., CAFE REFILL, REGULAR",False,1.0,49.0,49.0,0.0,0.0,0.0,0.0,42.2414,6.7586,0.0,49.0,42.2414,6.7586,0.0,49.0,,,,,,,,,CBC001
Panem - Plaza QIN,2022-04-28,jueves,2022-04-28 08:14:15.933000,2022-04-28 08:13:40.673000,17,6,6,Restaurant,'-,1,1,Plaza Qin,server_qin,server_qin,Venta,CAFE REFILL,REGULAR,Alimentos,MOD BEBIDAS,REGULAR,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2414,6.7586,0.0,49.0,0.0,0.0,0.0,0.0,,,,,,,,,MB002
