sucursal,operating_date,day_name,closing_time,captured_time,week_number,pdv_txn_id,order_id,order_type,order_subtype,table_number,party_size,server,terminal,capture_terminal,action,item,modifier,group_type,group,description,is_modifier,quantity,unit_price,unit_price_with_mods,cost_actual,cost_with_mods,cost_ideal,discount,subtotal_ticket,iva_ticket,ieps_ticket,total_ticket,subtotal_item,iva_item,ieps_item,total_item,subtotal_cortesia_cancel,iva_cortesia_cancel,ieps_cortesia_cancel,total_cortesia_cancel,subtotal_anulacion,iva_anulacion,ieps_anulacion,total_anulacion,clave_platillo
Panem - Credi Club,2024-10-28,lunes,2024-10-28 14:57:25.990000,2024-10-28 14:56:13.853000,44,1,1,Para llevar,'-,,1,PRUEBAS,SERVER1,SERVER1,Venta,CAFE OLLA REFILL,,Alimentos,CAFE Y BEBIDAS CALIENTES,CAFE OLLA REFILL,False,1.0,55.0,55.0,0.0,0.0,0.0,0.0,133.62,21.38,0.0,155.0,47.4138,7.5862,0.0,55.0,,,,,,,,,CBC020
Panem - Credi Club,2024-10-28,lunes,2024-10-28 14:57:25.990000,2024-10-28 14:56:30.727000,44,1,1,Para llevar,'-,,1,PRUEBAS,SERVER1,SERVER1,Venta,CAPPUCCINO 16OZ,,Alimentos,CAFE Y BEBIDAS CALIENTES,"CAPPUCCINO 16OZ, LECHE DE ALMENDRA, CARAMELO SUGAR FREE",False,1.0,90.0,100.0,0.0,0.0,0.0,0.0,133.62,21.38,0.0,155.0,86.2069,13.7931,0.0,100.0,,,,,,,,,CBC003
Panem - Credi Club,2024-10-28,lunes,2024-10-28 14:57:25.990000,2024-10-28 14:56:33.523000,44,1,1,Para llevar,'-,,1,PRUEBAS,SERVER1,SERVER1,Venta,CAPPUCCINO 16OZ,LECHE DE ALMENDRA,Alimentos,MOD BEBIDAS,LECHE DE ALMENDRA,True,1.0,5.0,0.0,0.0,0.0,0.0,0.0,133.62,21.38,0.0,155.0,4.3103,0.6897,0.0,5.0,,,,,,,,,MB003
Panem - Credi Club,2024-10-28,lunes,2024-10-28 14:57:25.990000,2024-10-28 14:56:35.400000,44,1,1,Para llevar,'-,,1,PRUEBAS,SERVER1,SERVER1,Venta,CAPPUCCINO 16OZ,CARAMELO SUGAR FREE,Alimentos,MOD BEBIDAS,CARAMELO SUGAR FREE,True,1.0,5.0,0.0,0.0,0.0,0.0,0.0,133.62,21.38,0.0,155.0,4.3103,0.6897,0.0,5.0,,,,,,,,,MA014
Panem - Credi Club,2024-10-28,lunes,2024-10-28 14:59:12.963000,2024-10-28 14:58:54.107000,44,2,2,Para llevar,'-,,1,PRUEBAS,SERVER1,SERVER1,Venta,MINI PIZZA DEL DIA,,Alimentos,PIZZA,"MINI PIZZA DEL DIA, PEPPERONI",False,1.0,115.0,115.0,0.0,0.0,0.0,0.0,99.14,15.86,0.0,115.0,99.1379,15.8621,0.0,115.0,,,,,,,,,PI007
Panem - Credi Club,2024-10-28,lunes,2024-10-28 14:59:12.963000,2024-10-28 14:58:55.653000,44,2,2,Para llevar,'-,,1,PRUEBAS,SERVER1,SERVER1,Venta,MINI PIZZA DEL DIA,PEPPERONI,Alimentos,MOD ALIMENTOS,PEPPERONI,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.14,15.86,0.0,115.0,0.0,0.0,0.0,0.0,,,,,,,,,MO042
Panem - Credi Club,2024-10-28,lunes,2024-10-28 14:59:12.963000,2024-10-28 14:59:00.137000,44,2,2,Para llevar,'-,,1,PRUEBAS,SERVER1,SERVER1,Venta,CAFE OFICIAL,,Alimentos,CAFE Y BEBIDAS CALIENTES,CAFE OFICIAL,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.14,15.86,0.0,115.0,0.0,0.0,0.0,0.0,,,,,,,,,COFG
Panem - Credi Club,2024-10-28,lunes,2024-10-28 14:59:40.303000,2024-10-28 14:59:32.213000,44,3,3,Para llevar,'-,,1,PRUEBAS,SERVER1,SERVER1,Venta,CAFE OFICIAL,,Alimentos,CAFE Y BEBIDAS CALIENTES,CAFE OFICIAL,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,COFG
Panem - Credi Club,2024-10-28,lunes,2024-10-28 14:59:40.303000,2024-10-28 14:59:32.790000,44,3,3,Para llevar,'-,,1,PRUEBAS,SERVER1,SERVER1,Venta,CAFE OFICIAL,,Alimentos,CAFE Y BEBIDAS CALIENTES,CAFE OFICIAL,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,COFG
Panem - Credi Club,2024-10-28,lunes,2024-10-28 14:59:40.303000,2024-10-28 14:59:33.337000,44,3,3,Para llevar,'-,,1,PRUEBAS,SERVER1,SERVER1,Venta,CAFE OFICIAL,,Alimentos,CAFE Y BEBIDAS CALIENTES,CAFE OFICIAL,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,COFG
Panem - Credi Club,2024-10-28,lunes,2024-10-28 15:00:51.663000,2024-10-28 15:00:44.007000,44,4,4,Para llevar,'-,,1,PRUEBAS,SERVER1,SERVER1,Venta,CAFE OFICIAL,,Alimentos,CAFE Y BEBIDAS CALIENTES,CAFE OFICIAL,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,COFG
Panem - Credi Club,2024-10-28,lunes,2024-10-28 15:01:14.827000,2024-10-28 15:01:01.960000,44,5,5,Para llevar,'-,,1,PRUEBAS,SERVER1,SERVER1,Venta,MINI PIZZA DEL DIA,,Alimentos,PIZZA,"MINI PIZZA DEL DIA, PEPPERONI",False,1.0,115.0,115.0,0.0,0.0,0.0,0.0,99.14,15.86,0.0,115.0,99.1379,15.8621,0.0,115.0,,,,,,,,,PI007
