sucursal,operating_date,day_name,closing_time,captured_time,week_number,pdv_txn_id,order_id,order_type,order_subtype,table_number,party_size,server,terminal,capture_terminal,action,item,modifier,group_type,group,description,is_modifier,quantity,unit_price,unit_price_with_mods,cost_actual,cost_with_mods,cost_ideal,discount,subtotal_ticket,iva_ticket,ieps_ticket,total_ticket,subtotal_item,iva_item,ieps_item,total_item,subtotal_cortesia_cancel,iva_cortesia_cancel,ieps_cortesia_cancel,total_cortesia_cancel,subtotal_anulacion,iva_anulacion,ieps_anulacion,total_anulacion,clave_platillo
Panem - Hotel Kavia N,2026-01-26,lunes,2026-01-26 07:56:02.690000,2026-01-26 07:54:27.570000,5,209020,1,Restaurant,'-,3,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CAPPUCCINO 16OZ,,Alimentos,CAFE Y BEBIDAS CALIENTES,"CAPPUCCINO 16OZ, 1 LECHE DE SOYA,** AÑADIR SHOT EXTRA **",False,1.0,90.0,90.0,2.0893,2.0893,37.4128,0.0,90.52,14.48,0.0,105.0,77.5862,12.4138,0.0,90.0,,,,,,,,,CBC003
Panem - Hotel Kavia N,2026-01-26,lunes,2026-01-26 07:56:02.690000,2026-01-26 07:54:35.113000,5,209020,1,Restaurant,'-,3,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CAPPUCCINO 16OZ,LECHE DE SOYA,Alimentos,MOD BEBIDAS,LECHE DE SOYA,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.52,14.48,0.0,105.0,0.0,0.0,0.0,0.0,,,,,,,,,MB004
Panem - Hotel Kavia N,2026-01-26,lunes,2026-01-26 07:56:02.690000,2026-01-26 07:54:45.923000,5,209020,1,Restaurant,'-,3,1,Panem Kavia,Terminal 1,Terminal 1,Venta,SHOT ESPRESSO EXTRA,,Alimentos,EXTRAS,SHOT ESPRESSO EXTRA,False,1.0,15.0,15.0,0.0,0.0,0.0,0.0,90.52,14.48,0.0,105.0,12.931,2.069,0.0,15.0,,,,,,,,,EX016
Panem - Hotel Kavia N,2026-01-26,lunes,2026-01-26 08:05:10.457000,2026-01-26 08:01:23.857000,5,209021,2,Restaurant,'-,21,1,Panem Kavia,Terminal 1,Terminal 1,Venta,AVOCADO TOAST,,Alimentos,DESAYUNOS,"AVOCADO TOAST, 1 2 HUEVOS AVO INCLUIDO, 1 JAMON SERRANO +$30",False,1.0,185.0,215.0,29.8627,29.8627,31.9133,0.0,306.03,48.97,0.0,355.0,185.3448,29.6552,0.0,215.0,,,,,,,,,DE001
Panem - Hotel Kavia N,2026-01-26,lunes,2026-01-26 08:05:10.457000,2026-01-26 08:01:24.843000,5,209021,2,Restaurant,'-,21,1,Panem Kavia,Terminal 1,Terminal 1,Venta,AVOCADO TOAST,2 HUEVOS AVO INCLUIDO,Alimentos,DESAYUNOS,2 HUEVOS AVO INCLUIDO,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,306.03,48.97,0.0,355.0,0.0,0.0,0.0,0.0,,,,,,,,,2HATN
Panem - Hotel Kavia N,2026-01-26,lunes,2026-01-26 08:05:10.457000,2026-01-26 08:01:26.690000,5,209021,2,Restaurant,'-,21,1,Panem Kavia,Terminal 1,Terminal 1,Venta,AVOCADO TOAST,JAMON SERRANO +$30,Alimentos,DESAYUNOS,JAMON SERRANO +$30,True,1.0,30.0,0.0,0.0,0.0,0.0,0.0,306.03,48.97,0.0,355.0,25.8621,4.1379,0.0,30.0,,,,,,,,,JS30
Panem - Hotel Kavia N,2026-01-26,lunes,2026-01-26 08:05:10.457000,2026-01-26 08:01:44.823000,5,209021,2,Restaurant,'-,21,1,Panem Kavia,Terminal 1,Terminal 1,Venta,JUGO NARANJA,,Alimentos,JUGOS Y BEBIDAS FRIAS,JUGO NARANJA,False,1.0,50.0,50.0,31.0,31.0,26.0,0.0,306.03,48.97,0.0,355.0,43.1034,6.8966,0.0,50.0,,,,,,,,,JBF010
Panem - Hotel Kavia N,2026-01-26,lunes,2026-01-26 08:05:10.457000,2026-01-26 08:01:52.807000,5,209021,2,Restaurant,'-,21,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CAPPUCCINO 16OZ,,Alimentos,CAFE Y BEBIDAS CALIENTES,"CAPPUCCINO 16OZ, 1 LECHE ENTERA",False,1.0,90.0,90.0,2.0893,2.0893,37.4128,0.0,306.03,48.97,0.0,355.0,77.5862,12.4138,0.0,90.0,,,,,,,,,CBC003
Panem - Hotel Kavia N,2026-01-26,lunes,2026-01-26 08:05:10.457000,2026-01-26 08:02:08.357000,5,209021,2,Restaurant,'-,21,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CAPPUCCINO 16OZ,LECHE ENTERA,Alimentos,MOD BEBIDAS,LECHE ENTERA,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,306.03,48.97,0.0,355.0,0.0,0.0,0.0,0.0,,,,,,,,,MB005
Panem - Hotel Kavia N,2026-01-26,lunes,2026-01-26 08:07:41.660000,2026-01-26 08:05:54.927000,5,209022,3,Restaurant,'-,19,1,Panem Kavia,Terminal 1,Terminal 1,Venta,LIMONADA,,Alimentos,JUGOS Y BEBIDAS FRIAS,"LIMONADA, 1 +MINERAL",False,1.0,45.0,50.0,0.528,0.528,51.4838,0.0,181.03,28.97,0.0,210.0,43.1034,6.8966,0.0,50.0,,,,,,,,,MA019
